,0
1038,1
1039,0
1040,6
1041,1
1042,4
1043,7
1044,3
1045,0
1046,1
1047,0
1048,9
1049,6
1050,4
1051,0
1052,8
1053,7
1054,6
1055,9
1056,8
1057,6
1058,1
1059,5
1060,8
1061,2
1062,8
1063,8
1064,5
1065,2
1066,1
1067,1
1068,9
1069,7
1070,2
1071,8
1072,3
1073,9
1074,3
1075,1
1076,2
1077,8
1078,7
1079,7
1080,3
1081,5
1082,3
1083,0
1084,0
1085,9
1086,8
1087,7
1088,2
1089,6
1090,8
1091,9
1092,2
1093,9
1094,2
1095,3
1096,1
1097,0
1098,1
1099,7
1100,5
1101,7
1102,2
1103,2
1104,5
1105,4
1106,1
1107,2
1108,8
1109,6
1110,4
1111,6
1112,6
1113,2
1114,8
1115,5
1116,6
1117,8
1118,6
1119,3
1120,0
1121,9
1122,3
1123,3
1124,4
1125,1
1126,9
1127,1
1128,2
1129,5
1130,0
1131,7
1132,3
1133,7
1134,5
1135,3
1136,5
1137,4
1138,5
1139,2
1140,0
1141,3
1142,4
1143,1
1144,4
1145,7
1146,7
1147,8
1148,8
1149,7
1150,2
1151,7
1152,3
1153,3
1154,7
1155,4
1156,9
1157,5
1158,2
1159,1
1160,8
1161,5
1162,0
1163,3
1164,9
1165,6
1166,1
1167,3
1168,2
1169,8
1170,5
1171,0
1172,4
1173,7
1174,4
1175,4
1176,3
1177,3
1178,1
1179,5
1180,9
1181,4
1182,0
1183,1
1184,6
1185,7
1186,3
1187,2
1188,9
1189,5
1190,4
1191,9
1192,7
1193,7
1194,9
1195,4
1196,0
1197,1
1198,7
1199,6
1200,1
1201,0
1202,2
1203,8
1204,4
1205,6
1206,7
1207,6
1208,9
1209,6
1210,4
1211,7
1212,8
1213,5
1214,3
1215,9
1216,0
1217,5
1218,6
1219,3
1220,9
1221,9
1222,7
1223,4
1224,6
1225,3
1226,2
1227,7
1228,0
1229,7
1230,8
1231,0
1232,8
1233,0
1234,9
1235,5
1236,3
1237,8
1238,9
1239,8
1240,5
1241,7
1242,2
1243,8
1244,9
1245,4
1246,3
1247,9
1248,2
1249,7
1250,5
1251,6
1252,8
1253,8
1254,8
1255,9
1256,1
1257,5
1258,7
1259,2
1260,5
1261,6
1262,5
1263,2
1264,1
1265,2
1266,4
1267,6
1268,7
1269,4
1270,1
1271,6
1272,8
1273,5
1274,7
1275,5
1276,0
1277,9
1278,8
1279,3
1280,3
1281,5
1282,2
1283,6
1284,9
1285,2
1286,4
1287,0
1288,0
1289,3
1290,1
1291,8
1292,5
1293,8
1294,6
1295,6
1296,8
1297,2
1298,0
1299,2
1300,8
1301,2
1302,7
1303,2
1304,6
1305,0
1306,5
1307,8
1308,2
1309,5
1310,0
1311,1
1312,7
1313,8
1314,9
1315,0
1316,6
1317,4
1318,9
1319,4
1320,9
1321,4
1322,2
1323,4
1324,7
1325,2
1326,8
1327,6
1328,2
1329,1
1330,8
1331,6
1332,4
1333,7
1334,0
1335,4
1336,7
1337,7
1338,1
1339,0
1340,4
1341,4
1342,6
1343,6
1344,3
1345,1
1346,8
1347,4
1348,0
1349,1
1350,0
1351,2
1352,7
1353,7
1354,5
1355,5
1356,4
1357,5
1358,1
1359,7
1360,1
1361,8
1362,7
1363,4
1364,5
1365,4
1366,2
1367,8
1368,8
1369,8
1370,6
1371,3
1372,1
1373,9
1374,2
1375,5
1376,9
1377,2
1378,4
1379,5
1380,6
1381,4
1382,3
1383,2
1384,9
1385,5
1386,5
1387,0
1388,8
1389,5
1390,7
1391,5
1392,1
1393,9
1394,2
1395,7
1396,0
1397,5
1398,4
1399,1
1400,6
1401,5
1402,4
1403,9
1404,6
1405,4
1406,9
1407,8
1408,7
1409,1
1410,2
1411,2
1412,5
1413,3
1414,1
1415,0
1416,0
1417,2
1418,6
1419,0
1420,3
1421,7
1422,3
1423,4
1424,0
1425,8
1426,1
1427,2
1428,5
1429,1
1430,6
1431,8
1432,5
1433,0
1434,5
1435,1
1436,3
1437,1
1438,9
1439,5
1440,1
1441,0
1442,6
1443,1
1444,3
1445,5
1446,6
1447,5
1448,5
1449,3
1450,2
1451,4
1452,2
1453,7
1454,4
1455,9
1456,8
1457,5
1458,4
1459,3
1460,8
1461,4
1462,5
1463,1
1464,2
1465,9
1466,8
1467,7
1468,2
1469,3
1470,7
1471,9
1472,3
1473,1
1474,6
1475,0
1476,1
1477,9
1478,2
1479,9
1480,5
1481,9
1482,2
1483,2
1484,0
1485,0
1486,4
1487,6
1488,8
1489,1
1490,2
1491,2
1492,6
1493,7
1494,5
1495,9
1496,3
1497,0
1498,5
1499,6
1500,0
1501,8
1502,3
1503,7
1504,6
1505,9
1506,1
1507,6
1508,4
1509,7
1510,1
1511,1
1512,3
1513,4
1514,0
1515,8
1516,2
1517,3
1518,5
1519,2
1520,4
1521,6
1522,7
1523,7
1524,0
1525,9
1526,1
1527,4
1528,9
1529,9
1530,7
1531,4
1532,8
1533,8
1534,5
1535,9
1536,1
1537,5
1538,4
1539,2
1540,6
1541,5
1542,2
1543,1
1544,5
1545,4
1546,4
1547,5
1548,0
1549,7
1550,5
1551,3
1552,7
1553,6
1554,4
1555,7
1556,4
1557,9
1558,4
1559,0
1560,7
1561,7
1562,0
1563,6
1564,3
1565,2
1566,1
1567,7
1568,9
1569,1
1570,0
1571,6
1572,0
1573,7
1574,1
1575,0
1576,2
1577,2
1578,8
1579,7
1580,3
1581,9
1582,8
1583,4
1584,5
1585,0
1586,6
1587,4
1588,6
1589,0
1590,5
1591,0
1592,5
1593,6
1594,5
1595,9
1596,3
1597,4
1598,6
1599,3
1600,1
1601,7
1602,2
1603,9
1604,9
1605,7
1606,6
1607,4
1608,6
1609,9
1610,6
1611,5
1612,8
1613,7
1614,2
1615,6
1616,6
1617,6
1618,8
1619,9
1620,0
1621,0
1622,0
1623,8
1624,4
1625,5
1626,6
1627,2
1628,8
1629,7
1630,1
1631,2
1632,2
1633,5
1634,0
1635,8
1636,8
1637,6
1638,5
1639,3
1640,2
1641,9
1642,8
1643,8
1644,8
1645,7
1646,5
1647,4
1648,3
1649,6
1650,1
1651,4
1652,5
1653,9
1654,8
1655,2
1656,5
1657,1
1658,5
1659,8
1660,1
1661,9
1662,3
1663,6
1664,8
1665,5
1666,2
1667,9
1668,9
1669,4
1670,6
1671,9
1672,8
1673,6
1674,0
1675,8
1676,5
1677,0
1678,7
1679,3
1680,3
1681,1
1682,4
1683,9
1684,5
1685,5
1686,3
1687,3
1688,9
1689,6
1690,3
1691,8
1692,9
1693,0
1694,1
1695,6
1696,1
1697,4
1698,2
1699,7
1700,6
1701,0
1702,8
1703,6
1704,2
1705,2
1706,9
1707,9
1708,1
1709,8
1710,9
1711,3
1712,0
1713,7
1714,9
1715,3
1716,4
1717,3
1718,7
1719,0
1720,3
1721,1
1722,5
1723,2
1724,8
1725,5
1726,3
1727,0
1728,2
1729,7
1730,5
1731,1
1732,5
1733,3
1734,0
1735,3
1736,4
1737,3
1738,3
1739,3
1740,7
1741,2
1742,1
1743,5
1744,6
1745,7
1746,1
1747,4
1748,1
1749,4
1750,2
1751,0
1752,7
1753,3
1754,8
1755,2
1756,0
1757,4
1758,4
1759,9
1760,8
1761,2
1762,9
1763,2
1764,2
1765,8
1766,2
1767,1
1768,0
1769,7
1770,0
1771,0
1772,0
1773,9
1774,8
1775,9
1776,1
1777,7
1778,1
1779,7
1780,0
1781,7
1782,8
1783,5
1784,3
1785,6
1786,4
1787,0
1788,6
1789,2
1790,3
1791,1
1792,7
1793,2
1794,4
1795,3
1796,4
1797,2
1798,9
1799,4
